depth,gate_count,cx_count,remote_gate_count,teleportation_count,bell_fidelity,latency,waiting_time,link_loss,ideal_counts,noisy_counts,output_fidelity
5,9,0,0,0,0.944,24.76,33.45,0.162,"{'0000': 602, '0100': 422}","{'0000': 574, '0100': 450}",0.9727
9,21,1,1,1,0.977,18.88,13.02,0.118,"{'0001': 15, '1100': 533, '1000': 22, '0101': 454}","{'0010': 2, '0111': 6, '0110': 3, '1010': 5, '1011': 2, '1101': 22, '1111': 16, '0000': 4, '0011': 2, '0001': 33, '1100': 445, '0100': 19, '1001': 10, '1000': 39, '1110': 20, '0101': 396}",0.8574
5,17,0,0,0,0.866,89.58,10.96,0.188,"{'1111': 96, '1101': 2, '0010': 37, '0101': 2, '0100': 1, '1100': 4, '1000': 4, '1110': 271, '0111': 267, '0011': 120, '1010': 142, '0110': 78}","{'1011': 2, '0101': 4, '0110': 64, '1111': 74, '0001': 4, '0011': 97, '0111': 267, '0100': 1, '1100': 5, '1000': 2, '1110': 327, '0010': 34, '1010': 143}",0.9355
10,23,0,0,0,0.984,61.79,34.44,0.039,"{'0101': 11, '1101': 431, '1111': 1, '0011': 3, '0001': 1, '1000': 1, '1110': 17, '1100': 3, '1010': 246, '1001': 18, '1011': 284, '0010': 8}","{'1000': 10, '0001': 5, '0011': 10, '0101': 19, '0010': 1, '0111': 2, '0110': 15, '1100': 15, '0100': 3, '1010': 229, '1110': 41, '1001': 33, '1011': 212, '1111': 12, '1101': 417}",0.8926
10,19,0,0,0,0.946,20.07,11.81,0.05,"{'0000': 46, '1001': 33, '0001': 83, '0100': 41, '1100': 144, '1000': 140, '0101': 84, '1111': 20, '0011': 220, '0111': 213}","{'1110': 5, '0110': 11, '0000': 49, '1001': 29, '0101': 72, '0010': 15, '1010': 6, '1011': 20, '0011': 215, '0001': 91, '0100': 51, '1100': 138, '1000': 118, '1101': 14, '1111': 27, '0111': 163}",0.9033
9,25,0,0,0,0.951,35.19,14.93,0.092,"{'1101': 4, '0000': 230, '1001': 100, '1100': 5, '1000': 114, '0101': 159, '0100': 224, '0001': 188}","{'1011': 5, '0110': 14, '1111': 8, '1101': 17, '1010': 7, '1001': 104, '0101': 171, '0001': 176, '0011': 5, '0111': 5, '1100': 14, '0100': 170, '0000': 190, '0010': 10, '1110': 2, '1000': 126}",0.8965
6,10,0,0,0,0.87,8.29,7.14,0.009,"{'0000': 12, '1000': 1012}","{'0111': 1, '1100': 2, '0100': 1, '1011': 4, '0101': 3, '1111': 16, '1101': 10, '0110': 1, '0001': 8, '1001': 15, '1010': 35, '0010': 20, '0000': 45, '1110': 1, '1000': 862}",0.8535
8,17,1,1,1,0.897,33.47,25.68,0.036,"{'0101': 6, '0011': 59, '1111': 68, '0001': 2, '0100': 13, '1000': 344, '1101': 21, '0010': 2, '0000': 509}","{'1110': 2, '1001': 7, '0101': 10, '0110': 2, '0011': 44, '0001': 11, '0100': 22, '1101': 21, '1111': 68, '0000': 481, '0010': 3, '1000': 353}",0.958
10,20,0,0,0,0.909,15.93,23.49,0.138,"{'0110': 3, '0101': 47, '1011': 185, '0100': 32, '1100': 151, '1000': 113, '1110': 56, '0001': 42, '0011': 30, '0111': 29, '1101': 12, '1111': 72, '0010': 39, '0000': 67, '1001': 108, '1010': 38}","{'0110': 19, '1000': 104, '0111': 44, '0011': 41, '0001': 51, '1111': 52, '1101': 23, '1010': 55, '0101': 48, '0010': 25, '0000': 52, '1110': 58, '0100': 27, '1100': 145, '1001': 101, '1011': 179}",0.9199
9,14,0,0,0,0.989,78.56,40.15,0.154,"{'0000': 530, '0010': 494}","{'1001': 10, '1011': 9, '1101': 11, '1111': 15, '0101': 13, '1000': 38, '1110': 12, '0100': 51, '1100': 21, '1010': 45, '0111': 16, '0001': 17, '0011': 22, '0110': 49, '0000': 330, '0010': 365}",0.6787
