depth,gate_count,num_qubits,cx_count,remote_gate_count,teleportation_count,profile,bell_fidelity,latency,waiting_time,link_loss,gate_error,readout_error,output_fidelity
6,14,4,2,1,1,Average,0.9604,27.35,13.67,0.0356,0.00988914134482266,0.012925341957341407,0.990781
6,14,4,2,1,1,Average,0.9604,27.35,13.67,0.0356,0.00988914134482266,0.012925341957341407,0.988275
19,80,8,3,2,2,Excellent,0.9979,5.15,2.57,0.0022,0.001,0.0010530719393677273,0.927492
19,80,8,3,2,2,Excellent,0.9979,5.15,2.57,0.0022,0.001,0.0010530719393677273,0.924836
20,55,5,2,2,2,Average,0.9728,44.28,22.14,0.0303,0.006800439467198605,0.012585115159905815,0.983715
20,55,5,2,2,2,Average,0.9728,44.28,22.14,0.0303,0.006800439467198605,0.012585115159905815,0.989678
14,62,6,1,1,1,Good,0.9708,12.15,6.08,0.0253,0.007311944953732996,0.004519709202549349,0.985733
14,62,6,1,1,1,Good,0.9708,12.15,6.08,0.0253,0.007311944953732996,0.004519709202549349,0.978227
9,58,8,1,1,1,Poor,0.9078,53.94,26.97,0.0935,0.023041966129405733,0.0282817762190521,0.824067
9,58,8,1,1,1,Poor,0.9078,53.94,26.97,0.0935,0.023041966129405733,0.0282817762190521,0.828064
18,50,4,1,1,1,Average,0.9333,33.6,16.8,0.0634,0.01668446902351728,0.009842165601820172,0.986909
18,50,4,1,1,1,Average,0.9333,33.6,16.8,0.0634,0.01668446902351728,0.009842165601820172,0.985978
13,57,8,2,2,2,Good,0.9889,14.62,7.31,0.0154,0.002786261184868355,0.005752647833733252,0.952221
13,57,8,2,2,2,Good,0.9889,14.62,7.31,0.0154,0.002786261184868355,0.005752647833733252,0.948441
14,67,7,2,0,0,Excellent,0.9943,6.05,3.03,0.0094,0.0014163552196559404,0.001629355761596956,0.955545
14,67,7,2,0,0,Excellent,0.9943,6.05,3.03,0.0094,0.0014163552196559404,0.001629355761596956,0.958403
18,78,7,3,1,1,Poor,0.9213,57.14,28.57,0.0812,0.01968013393528109,0.023084659345009355,0.915107
18,78,7,3,1,1,Poor,0.9213,57.14,28.57,0.0812,0.01968013393528109,0.023084659345009355,0.910594
18,84,8,3,2,2,Average,0.9302,26.58,13.29,0.0699,0.017451560330759952,0.0077272752973903515,0.915345
18,84,8,3,2,2,Average,0.9302,26.58,13.29,0.0699,0.017451560330759952,0.0077272752973903515,0.907887
9,21,4,4,3,3,Good,0.9734,16.27,8.14,0.0258,0.006654996904815608,0.0032541108246078284,0.996941
9,21,4,4,3,3,Good,0.9734,16.27,8.14,0.0258,0.006654996904815608,0.0032541108246078284,0.995666
20,85,7,2,0,0,Average,0.9307,49.13,24.57,0.0644,0.017329094467487954,0.012765774554881558,0.952718
20,85,7,2,0,0,Average,0.9307,49.13,24.57,0.0644,0.017329094467487954,0.012765774554881558,0.945718
14,69,8,1,0,0,Average,0.9521,23.35,11.67,0.0474,0.011963343240868035,0.01463052742016864,0.913453
14,69,8,1,0,0,Average,0.9521,23.35,11.67,0.0474,0.011963343240868035,0.01463052742016864,0.900805
12,41,6,1,0,0,Good,0.9913,13.74,6.87,0.0132,0.0021739958096319845,0.0066897363224730985,0.988611
12,41,6,1,0,0,Good,0.9913,13.74,6.87,0.0132,0.0021739958096319845,0.0066897363224730985,0.983104
13,58,6,1,1,1,Excellent,0.9901,6.2,3.1,0.0057,0.0024714997384938653,0.0024638151896892555,0.983483
13,58,6,1,1,1,Excellent,0.9901,6.2,3.1,0.0057,0.0024714997384938653,0.0024638151896892555,0.983441
21,78,5,1,0,0,Good,0.9718,12.65,6.33,0.0274,0.007054320354924065,0.0038471928217683284,0.984343
21,78,5,1,0,0,Good,0.9718,12.65,6.33,0.0274,0.007054320354924065,0.0038471928217683284,0.990169
20,105,8,3,3,3,Excellent,0.9946,6.24,3.12,0.0006,0.0013574790907982248,0.0021078430448489595,0.929132
20,105,8,3,3,3,Excellent,0.9946,6.24,3.12,0.0006,0.0013574790907982248,0.0021078430448489595,0.907765
7,18,4,1,1,1,Average,0.9622,22.13,11.06,0.0395,0.009457601897949253,0.00871389445896351,0.99285
7,18,4,1,1,1,Average,0.9622,22.13,11.06,0.0395,0.009457601897949253,0.00871389445896351,0.987646
21,74,5,1,1,1,Poor,0.9216,59.52,29.76,0.0778,0.019610988328560508,0.02135367934529881,0.987472
21,74,5,1,1,1,Poor,0.9216,59.52,29.76,0.0778,0.019610988328560508,0.02135367934529881,0.986705
7,31,7,1,1,1,Excellent,0.9957,5.3,2.65,0.0073,0.0010690526939487188,0.001218538064489608,0.965024
7,31,7,1,1,1,Excellent,0.9957,5.3,2.65,0.0073,0.0010690526939487188,0.001218538064489608,0.95935
20,139,8,1,1,1,Good,0.9819,14.22,7.11,0.0156,0.004518209603629447,0.0066930623971040515,0.911492
20,139,8,1,1,1,Good,0.9819,14.22,7.11,0.0156,0.004518209603629447,0.0066930623971040515,0.932318
13,33,4,1,0,0,Good,0.984,14.06,7.03,0.0196,0.003995166104779652,0.006609771462042195,0.994441
13,33,4,1,0,0,Good,0.984,14.06,7.03,0.0196,0.003995166104779652,0.006609771462042195,0.988783
18,73,5,1,1,1,Excellent,1.0002,9.93,4.96,0.0027,0.001,0.0019100167346782866,0.990975
18,73,5,1,1,1,Excellent,1.0002,9.93,4.96,0.0027,0.001,0.0019100167346782866,0.9883
21,95,7,2,1,1,Good,0.9812,11.9,5.95,0.0144,0.004692296262052614,0.005942948715156174,0.947794
21,95,7,2,1,1,Good,0.9812,11.9,5.95,0.0144,0.004692296262052614,0.005942948715156174,0.957542
16,54,4,1,1,1,Excellent,0.9994,5.25,2.63,0.0048,0.001,0.0020622522705410827,0.996533
16,54,4,1,1,1,Excellent,0.9994,5.25,2.63,0.0048,0.001,0.0020622522705410827,0.994191
18,68,5,1,1,1,Excellent,0.9951,9.71,4.85,0.0057,0.0012268908815774304,0.0010794833245781287,0.992594
18,68,5,1,1,1,Excellent,0.9951,9.71,4.85,0.0057,0.0012268908815774304,0.0010794833245781287,0.988152
19,66,4,1,0,0,Average,0.964,48.04,24.02,0.0382,0.009002112492261821,0.008909487620926769,0.993151
19,66,4,1,0,0,Average,0.964,48.04,24.02,0.0382,0.009002112492261821,0.008909487620926769,0.98851
10,39,7,3,2,2,Average,0.9372,33.72,16.86,0.0672,0.01570084759844309,0.007074523655073972,0.967419
10,39,7,3,2,2,Average,0.9372,33.72,16.86,0.0672,0.01570084759844309,0.007074523655073972,0.967838
15,48,6,1,0,0,Good,0.9772,14.38,7.19,0.0209,0.00570979695386073,0.006935413241005929,0.983571
15,48,6,1,0,0,Good,0.9772,14.38,7.19,0.0209,0.00570979695386073,0.006935413241005929,0.985426
6,35,8,1,0,0,Average,0.9696,47.95,23.98,0.0341,0.007590547606748127,0.00911572737189702,0.962158
6,35,8,1,0,0,Average,0.9696,47.95,23.98,0.0341,0.007590547606748127,0.00911572737189702,0.959739
10,35,4,1,0,0,Average,0.96,28.45,14.23,0.0384,0.009999095828586296,0.012499977030410645,0.995399
10,35,4,1,0,0,Average,0.96,28.45,14.23,0.0384,0.009999095828586296,0.012499977030410645,0.997226
21,79,6,2,1,1,Average,0.9321,47.16,23.58,0.0638,0.01698029096366671,0.01038860618050981,0.960848
21,79,6,2,1,1,Average,0.9321,47.16,23.58,0.0638,0.01698029096366671,0.01038860618050981,0.94513
14,64,5,1,1,1,Good,0.9782,17.41,8.71,0.021,0.005439184808180231,0.0030386787984333597,0.981203
14,64,5,1,1,1,Good,0.9782,17.41,8.71,0.021,0.005439184808180231,0.0030386787984333597,0.992186
7,41,8,2,2,2,Average,0.9604,37.48,18.74,0.0359,0.009912324057469474,0.00946606679944107,0.964602
7,41,8,2,2,2,Average,0.9604,37.48,18.74,0.0359,0.009912324057469474,0.00946606679944107,0.960578
17,36,4,1,0,0,Good,0.9752,16.82,8.41,0.0233,0.006200470466641184,0.005239534076575479,0.996785
17,36,4,1,0,0,Good,0.9752,16.82,8.41,0.0233,0.006200470466641184,0.005239534076575479,0.99497
14,60,5,1,1,1,Good,0.9916,17.87,8.94,0.0122,0.0021100611747495446,0.006434373005351127,0.991628
14,60,5,1,1,1,Good,0.9916,17.87,8.94,0.0122,0.0021100611747495446,0.006434373005351127,0.991734
12,50,5,2,2,2,Poor,0.8681,67.48,33.74,0.1356,0.032982420029773724,0.018343853208087135,0.989653
12,50,5,2,2,2,Poor,0.8681,67.48,33.74,0.1356,0.032982420029773724,0.018343853208087135,0.984405
18,64,5,2,0,0,Average,0.97,28.36,14.18,0.0328,0.007510890953027288,0.009809169032662018,0.982617
18,64,5,2,0,0,Average,0.97,28.36,14.18,0.0328,0.007510890953027288,0.009809169032662018,0.992235
18,129,8,1,1,1,Average,0.9701,48.18,24.09,0.0346,0.007477415990958719,0.00842854252937971,0.902795
18,129,8,1,1,1,Average,0.9701,48.18,24.09,0.0346,0.007477415990958719,0.00842854252937971,0.913676
16,53,6,1,1,1,Poor,0.8879,80.31,40.16,0.1109,0.028015472610027736,0.02364882065244899,0.97264
16,53,6,1,1,1,Poor,0.8879,80.31,40.16,0.1109,0.028015472610027736,0.02364882065244899,0.964574
7,35,6,1,0,0,Poor,0.8563,50.08,25.04,0.144,0.03591537331724967,0.02579144998717268,0.975314
7,35,6,1,0,0,Poor,0.8563,50.08,25.04,0.144,0.03591537331724967,0.02579144998717268,0.97334
17,69,5,1,0,0,Poor,0.8752,53.5,26.75,0.1231,0.031209253608118964,0.019708734675875396,0.981087
17,69,5,1,0,0,Poor,0.8752,53.5,26.75,0.1231,0.031209253608118964,0.019708734675875396,0.987045
16,54,7,1,0,0,Poor,0.8826,84.86,42.43,0.1144,0.02935864932086052,0.024973941513191572,0.923185
16,54,7,1,0,0,Poor,0.8826,84.86,42.43,0.1144,0.02935864932086052,0.024973941513191572,0.948706
11,55,7,1,1,1,Average,0.9347,32.18,16.09,0.0633,0.016327564319869675,0.008681461479061136,0.952378
11,55,7,1,1,1,Average,0.9347,32.18,16.09,0.0633,0.016327564319869675,0.008681461479061136,0.955728
16,89,8,1,1,1,Poor,0.8761,72.09,36.04,0.1241,0.03098460967161551,0.02690603098659003,0.824855
16,89,8,1,1,1,Poor,0.8761,72.09,36.04,0.1241,0.03098460967161551,0.02690603098659003,0.825835
16,72,6,1,1,1,Excellent,0.9942,9.09,4.55,0.0075,0.0014458561674589032,0.0014492813319945765,0.979992
16,72,6,1,1,1,Excellent,0.9942,9.09,4.55,0.0075,0.0014458561674589032,0.0014492813319945765,0.977757
10,37,5,2,0,0,Excellent,0.9913,5.23,2.62,0.0098,0.0021816551243029336,0.0025369786780003937,0.99085
